Title,Start,End,Description,WebPage,Media,Media Caption,Media Credits,Tags,Place,Location
Colin Firth en el papel de 'King George VI' (The King's Speech),01/01/2010,,"The King's Speech is a 2010 British historical drama film directed by Tom Hooper and written by David Seidler. Colin Firth plays King George VI who, to cope with a stammer, sees Lionel Logue, an Australian speech therapist played by Geoffrey Rush. The men become friends as they work together, and after his brother abdicates the throne, the new King relies on Logue to help him make his first wartime radio broadcast on Britain's declaration of war on Germany in 1939. Seidler read about George VI's life after overcoming a stuttering condition he endured during his youth. He started writing about the relationship between the monarch and his therapist as early as the 1980s, but at the request of the King's widow, Queen Elizabeth The Queen Mother, postponed work until her death in 2002. He later rewrote his screenplay for the stage to focus on the essential relationship between the two protagonists. Nine weeks before filming began, Logue's notebooks were discovered and quotations from them were incorporated into the script. Principal photography took place in London and around Britain from November 2009 to January 2010. The opening scenes were filmed at Elland Road in Leeds, which stood in for the old Wembley Stadium. For indoor scenes, Lancaster House substituted for Buckingham Palace, and Ely Cathedral stood in for Westminster Abbey. The cinematography differs from that of other historical dramas: hard light was used to give the story a greater resonance and wider than normal lenses were employed to recreate the King's feelings of constriction. A third technique Hooper employed was the off-centre framing of characters: in his first consultation with Logue, George VI is captured hunched on the side of a couch at the edge of the frame. Released in the United Kingdom on 7 January 2011, The King's Speech was a major box office and critical success. Censors initially gave it adult ratings due to profanity, though these were later revised downwards after criticism by the makers and distributors in the UK and some instances of swearing were muted in the US. On a budget of £8 million, it earned over $400 million internationally (£250 million). It was widely praised by film critics for its visual style, art direction, and acting. Other commentators discussed the film's representation of historical detail, especially the reversal of Winston Churchill's opposition to abdication. The film received many awards and nominations, particularly for Colin Firth's performance; his Golden Globe Award for Best Actor was the sole win at that ceremony from seven nominations. The King's Speech won seven British Academy Film Awards, including Best Picture, and Best Actor (Firth), Best Supporting Actor (Rush), and Best Supporting Actress. The film also won four Academy Awards: Best Picture, Best Director (Hooper), Best Actor (Firth), and Best Original Screenplay (Seidler).","http://www.bafta.org/access-all-areas/videos/a-life-in-pictures-colin-firth,1638,BA.html",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Kings_speech_ver3.jpg/200px-Kings_speech_ver3.jpg,The King’s Speech,Wikimedia,,United Kingdom,"55.378051,-3.435973"
Jeff Bridges en el papel de 'Bad Blake' (Crazy Heart),01/01/2009,,"Crazy Heart is a 2009 American drama film, written and directed by Scott Cooper and based on the 1987 novel of the same name by Thomas Cobb. Jeff Bridges plays a down-and-out country music singer-songwriter who tries to turn his life around after beginning a relationship with a young journalist portrayed by Maggie Gyllenhaal. Other supporting roles are played by Colin Farrell, Robert Duvall, and child actor Jack Nation. Bridges, Farrell, and Duvall also sing in the film. The film's main character, Bad Blake played by Jeff Bridges, is based on a combination of Waylon Jennings, Kris Kristofferson and Merle Haggard. The writer-director Cooper initially wanted to do a biopic on Haggard but found the rights to his life story were too difficult to obtain. The novel on which the film was based, was actually inspired by country singer Hank Thompson. Bridges earned the 2009 Academy Award for Best Actor for his performance in the film. Filming took place during 2008 in New Mexico, in Houston, Texas, and in Los Angeles, California. Original music for the film was composed by T-Bone Burnett, Stephen Bruton, Ryan Bingham and others. Bingham and Burnett received the 2009 Academy Award for Best Original Song for co-writing ""The Weary Kind"", which Bingham also performed. The film was produced for $7 million by Country Music Television, and was originally acquired by Paramount Vantage for a direct-to-video release, but was later purchased for theatrical distribution by Fox Searchlight Pictures. It opened in limited release in the U.S. on December 16, 2009.",http://www.emmys.com/celebrities/jeff-bridges,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Crazy_heart_poster.jpg/200px-Crazy_heart_poster.jpg,Crazy Heart,Wikimedia,,United States,"37.09024,-95.712891"
Sean Penn en el papel de 'Harvey Milk' (Milk),01/01/2008,,"Milk is a 2008 American biographical film based on the life of gay rights activist and politician Harvey Milk, who was the first openly gay person to be elected to public office in California, as a member of the San Francisco Board of Supervisors. Directed by Gus Van Sant and written by Dustin Lance Black, the film stars Sean Penn as Milk and Josh Brolin as Dan White, a city supervisor who assassinated Milk. The film was released to much acclaim and earned numerous accolades from film critics and guilds. Ultimately, it received eight Academy Award nominations, including Best Picture, winning two for Best Actor in a Leading Role for Penn and Best Original Screenplay for Black. Attempts to put Milk's life to film followed a 1984 documentary of his life and the aftermath of his assassination, titled The Times of Harvey Milk, which was loosely based upon Randy Shilts's biography, The Mayor of Castro Street. (The film won the Academy Award for Best Documentary Feature for 1984, and was awarded Special Jury Prize at the first Sundance Film Festival, among other awards. ) Various scripts were considered in the early 1990s, but projects fell through for different reasons, until 2007. Much of Milk was filmed on Castro Street and other locations in San Francisco, including Milk's former storefront, Castro Camera. Milk begins on Harvey Milk's 40th birthday (in 1970), when he was living in New York City and had not yet settled in San Francisco. It chronicles his foray into city politics, and the various battles he waged in the Castro neighborhood as well as throughout the city, and political campaigns to limit the rights of gay people in 1977 and 1978 run by Anita Bryant and John Briggs. His romantic and political relationships are also addressed, as is his tenuous affiliation with troubled Supervisor Dan White; the film ends with White's double homicide of Milk and Mayor George Moscone. The film's release was tied to the 2008 California voter referendum on gay marriage, Proposition 8, when it made its premiere at the Castro Theatre two weeks before election day.",http://sfgate.com/cgi-bin/article.cgi?f=/c/a/2005/08/22/DDGJUEAF041.DTL,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Milkposter08.jpg/200px-Milkposter08.jpg,Milk (Film),Wikimedia,,United States,"37.09024,-95.712891"
Daniel Day-Lewis en el papel de 'Daniel Plainview' (There Will Be Blood),01/01/2007,,"There Will Be Blood is a 2007 American drama film written, co-produced, and directed by Paul Thomas Anderson. The film is loosely based on Upton Sinclair's 1927 novel Oil!. It tells the story of a gold miner-turned-oilman on a ruthless quest for wealth during Southern California's oil boom of the late 19th and early 20th centuries. It stars Daniel Day-Lewis and Paul Dano. The film received significant critical praise and numerous award nominations and victories. It appeared on many critics' ""top ten"" lists for the year, notably the American Film Institute, the National Society of Film Critics, the National Board of Review, and the Los Angeles Film Critics Association. Day-Lewis won Oscar, BAFTA, Golden Globe, Screen Actors Guild, NYFCC and IFTA Best Actor awards for his performance. The film was nominated for eight Academy Awards including Best Picture, winning Best Actor for Day-Lewis and Best Cinematography for Robert Elswit. In late 2009, it was chosen by Lisa Schwarzbaum of Entertainment Weekly, Peter Bradshaw of The Guardian, Peter Travers of Rolling Stone and Michael Phillips of the Chicago Tribune and At the Movies as the best film of the first decade of the 21st century.",http://kathyddl.tripod.com/den.html,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/There_Will_Be_Blood_Poster.jpg/200px-There_Will_Be_Blood_Poster.jpg,There Will Be Blood,Wikimedia,,United States,"37.09024,-95.712891"
Forest Whitaker en el papel de 'Idi Amin' (The Last King of Scotland),01/01/2006,,"The Last King of Scotland is a 2006 British drama film based on Giles Foden's novel of the same name, adapted by screenwriters Peter Morgan and Jeremy Brock, and directed by Kevin MacDonald. The film was a co-production between companies from the United Kingdom and the United States, including Fox Searchlight Pictures and Film4. The Last King of Scotland tells the fictional story of Dr. Nicholas Garrigan, a young Scottish doctor who travels to Uganda and becomes the personal physician to the dictator Idi Amin. The film is based on factual events of Amin's rule and the title comes from a reporter in a press conference who wishes to verify whether Amin declared himself the King of Scotland. Amin was known to invent and adopt fanciful imperial titles for himself. The Last King of Scotland received wide critical acclaim. Particular focus went to Whitaker, who received outstanding critical acclaim for his performance as dictator Idi Amin in the film. He won Best Actor at the Academy Awards among others, and the film was also a financial success.",http://www.candlesforrwanda.org/view/28/forest-whitaker.html,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Last_king_of_scotland_uk.jpg/200px-Last_king_of_scotland_uk.jpg,The Last King of Scotland (film),Wikimedia,,Germany,"51.165691,10.451526"
Philip Seymour Hoffman en el papel de 'Truman Capote' (Capote),01/01/2005,,"Capote is a 2005 biographical film about Truman Capote, following the events during the writing of Capote's non-fiction book In Cold Blood. Philip Seymour Hoffman won several awards, including the Academy Award for Best Actor, for his critically acclaimed portrayal of the title role. The movie was based on Gerald Clarke's biography Capote. The movie was filmed mostly in Manitoba in the autumn of 2004. It was released September 30, 2005, to coincide with Truman Capote's 81st birthday.",http://www.npr.org/templates/story/story.php?storyId=4864379,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Capote_Poster.jpg/200px-Capote_Poster.jpg,Capote (Film),Wikimedia,,Canada,"56.130366,-106.346771"
Jamie Foxx en el papel de 'Ray Charles' (Ray),01/01/2004,,"Ray is a 2004 biographical film focusing on 30 years of the life of rhythm and blues musician Ray Charles. The independently produced film was directed by Taylor Hackford and starred Jamie Foxx in the title role; Foxx received an Academy Award for Best Actor for his performance. Charles was set to attend an opening of the completed film, but he died of liver disease in June, several months before its premiere.",http://www.jamiefoxx.com,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Ray_movie.jpg/200px-Ray_movie.jpg,Ray (Film),Wikimedia,,United States,"37.09024,-95.712891"
Sean Penn en el papel de 'Jimmy Markum' (Mystic River),01/01/2003,,"Mystic River is a 2003 American drama film directed, co-produced and scored by Clint Eastwood, starring Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney and Emmy Rossum. The film was written by Brian Helgeland, based on Dennis Lehane's novel of the same name. The film opened to widespread critical acclaim. It was nominated for Academy Awards for Best Picture, Best Director, Best Actor, Best Adapted Screenplay, Best Supporting Actress and Best Supporting Actor. Sean Penn won Best Actor and Tim Robbins won Best Supporting Actor, making Mystic River the first film to win both awards since Ben-Hur in 1959.",,http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Mystic_River_poster.jpg/200px-Mystic_River_poster.jpg,Mystic River (Film),Wikimedia,,United States,"37.09024,-95.712891"
Adrien Brody en el papel de 'Wladyslaw Szpilman' (The Pianist),01/01/2002,,"The Pianist is a 2002 biographical war drama film directed by Roman Polanski, scripted by Ronald Harwood and starring Adrien Brody.. It is based on the autobiographical book The Pianist, a World War II memoir by the Polish-Jewish pianist and composer Władysław Szpilman. The film is a co-production between Poland, France, Germany and the United Kingdom. The Pianist met with significant critical praise and received multiple awards and nominations. The film was awarded the Palme d'Or at the 2002 Cannes Film Festival. At the 75th Academy Awards, The Pianist won Oscars for Best Director (Polanski), Best Adapted Screenplay and Best Actor (Brody), and was also nominated for four other awards, including the Academy Award for Best Picture. It also won the BAFTA Award for Best Film and BAFTA Award for Best Direction in 2003 and seven French Césars including Best Picture, Best Director and Best Actor for Brody.",,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/The_Pianist_movie.jpg/200px-The_Pianist_movie.jpg,The Pianist (2002 film),Wikimedia,,France,"46.227638,2.213749"
Denzel Washington en el papel de 'Alonzo' (Training Day),01/01/2001,,"Training Day is a 2001 American crime drama film directed by Antoine Fuqua, written by David Ayer, and starring Denzel Washington and Ethan Hawke. The story follows two LAPD narcotics detectives over a 24-hour period in the gang neighborhoods of North West and South Central Los Angeles. The film was a box office success and earned mostly positive critical appraisal. Washington's performance, a departure from his usual roles, was particularly praised and earned him an Academy Award for Best Actor at the 74th Academy Awards. His co-star Ethan Hawke was nominated for the Academy Award for Best Supporting Actor for his performance as a rookie cop. This film was also the debut of R&B singer Grammy-winner Macy Gray as an actress.",http://www.moviefone.com/celebrity/denzel-washington/1025024/main,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Training_Day_Poster.jpg/200px-Training_Day_Poster.jpg,Training Day,Wikimedia,,United States,"37.09024,-95.712891"
